trade_date,day_index,strategy_nav,benchmark_nav,position,target_position,traded_notional,strategy_nav_norm,benchmark_nav_norm,excess_nav,drawdown,strategy_daily_return,benchmark_daily_return,daily_excess_return,turnover_ratio
2024-04-15,551,115127.33074999996,110488.00381765938,0.32925283469233924,0.4588937312364578,27180.0,0.5670862994876464,0.5524400190882969,0.026511983008618012,-0.43505908864193454,-0.007714075003010801,0.01851564127754557,-0.02622971628055637,0.23426523715714806
2024-04-16,552,114156.18424999996,108314.7255257358,0.3785778254934972,0.45893970131874084,44937.0,0.5623026927510212,0.541573627628679,0.038275617690443964,-0.43982459814517816,-0.008435412283716137,-0.01966981225862474,0.011234399974908604,0.39032434529018223
2024-04-17,553,115066.24224999995,110598.3614955453,0.3724637144826898,0.45895010232925415,35484.0,0.5667853939495733,0.5529918074777265,0.024943563874411323,-0.435358855800946,0.007972042916281952,0.021083338010831065,-0.013111295094549114,0.31083729920659126
2024-04-18,554,114578.72124999994,109993.9172206652,0.3678518972823675,0.4589432030916214,17946.0,0.5643839964880716,0.549969586103326,0.026209468212370357,-0.4377511683495994,-0.0042368725220103265,-0.005465219074736849,0.0012283465527265225,0.15596233655575042
2024-04-19,555,117245.64124999994,108056.28893847963,0.40420265943148675,0.4590051919221878,16958.0,0.5775205278744695,0.5402814446923981,0.068925341686078,-0.4246643347931891,0.023275875056949058,-0.017615776682435857,0.040891651739384915,0.1480030481663279
2024-04-22,556,117335.22574999995,107715.5548390094,0.35728401025384326,0.45908457040786743,40014.0,0.5779617970523919,0.538577774195047,0.07312597129766041,-0.42422473501489266,0.0007640753126931799,-0.003153301883837778,0.003917377196530958,0.34128347607122683
2024-04-23,557,118391.66174999996,107881.56517881124,0.4063968635020871,0.4591149091720581,5128.0,0.5831655169508968,0.5394078258940562,0.08112172081358504,-0.41904070171243135,0.009003570694540608,0.001541191892386884,0.007462378802153724,0.043703840574917906
2024-04-24,558,118752.73174999995,108635.31907208232,0.40074867582993534,0.4589764177799225,32930.0,0.5849440507605674,0.5431765953604116,0.07689479951256373,-0.41726889641185505,0.0030497924825352296,0.006986864641996382,-0.003937072159461152,0.2781445881681783
2024-04-25,559,118475.01624999994,108593.29651257061,0.403789773694165,0.45878204703330994,39778.0,0.5835760988226618,0.5429664825628531,0.07479212357294607,-0.41863167314476624,-0.0023386030443884875,-0.000386822258825692,-0.0019517807855627956,0.33496492597527144
2024-04-26,560,118050.11074999995,112224.75577348679,0.4062512071806762,0.4587225317955017,20047.0,0.5814831284909672,0.5611237788674339,0.03628317029199213,-0.4207167253981908,-0.003586456566533669,0.033440915577102936,-0.037027372143636605,0.1692086706086441
